CO,PM2.5,PM10,TSP,Slope,Air volume,Distance
24.6,1.99,2.07,2.23,0,0.9,10
24.8,1.99,2.07,2.22,0,0.9,10
25,1.99,2.07,2.22,0,0.9,10
25.3,1.98,2.06,2.2,0,0.9,10
25.4,1.98,2.06,2.2,0,0.9,10
25.6,1.97,2.05,2.18,0,0.9,10
25.8,1.97,2.05,2.18,0,0.9,10
25.9,1.96,2.04,2.17,0,0.9,10
26,1.96,2.04,2.17,0,0.9,10
26.3,1.94,2.02,2.14,0,0.9,10
26.5,1.94,2.02,2.14,0,0.9,10
26.7,1.93,2,2.12,0,0.9,10
26.8,1.93,2,2.12,0,0.9,10
27,1.95,2.03,2.14,0,0.9,10
27.2,1.95,2.03,2.14,0,0.9,10
27.5,1.98,2.06,2.18,0,0.9,10
27.9,1.98,2.06,2.18,0,0.9,10
28.1,2.02,2.1,2.22,0,0.9,10
28.3,2.02,2.1,2.22,0,0.9,10
28.6,2.03,2.11,2.22,0,0.9,10
28.9,2.03,2.11,2.22,0,0.9,10
29.2,2.01,2.09,2.19,0,0.9,10
29.4,2.01,2.09,2.19,0,0.9,10
29.8,2.02,2.09,2.19,0,0.9,10
30,2.02,2.09,2.19,0,0.9,10
30.1,2.03,2.11,2.2,0,0.9,10
30.2,2.03,2.11,2.2,0,0.9,10
30.3,2.06,2.14,2.23,0,0.9,10
30.4,2.06,2.14,2.23,0,0.9,10
30.6,2.08,2.16,2.26,0,0.9,10
30.6,2.08,2.16,2.26,0,0.9,10
30.7,2.09,2.18,2.27,0,0.9,10
30.8,2.09,2.18,2.27,0,0.9,10
30.8,2.1,2.18,2.28,0,0.9,10
30.9,2.1,2.18,2.28,0,0.9,10
30.9,2.08,2.16,2.26,0,0.9,10
31,2.08,2.16,2.26,0,0.9,10
31.1,2.05,2.13,2.22,0,0.9,10
31.2,2.05,2.13,2.22,0,0.9,10
31.3,1.99,2.06,2.15,0,0.9,10
31.3,1.99,2.06,2.15,0,0.9,10
31.4,1.94,2.01,2.1,0,0.9,10
31.5,1.94,2.01,2.1,0,0.9,10
31.6,1.93,1.99,2.08,0,0.9,10
31.8,1.93,1.99,2.08,0,0.9,10
32,1.9,1.97,2.06,0,0.9,10
32.2,1.9,1.97,2.06,0,0.9,10
32.4,0.86,0.9,1.08,0,0.9,10
32.5,0.86,0.9,1.08,0,0.9,10
33,0.85,0.89,1.06,0,0.9,10
33.3,0.85,0.89,1.06,0,0.9,10
33.6,0.85,0.88,1.05,0,0.9,10
34,0.85,0.88,1.05,0,0.9,10
34.3,0.84,0.88,1.04,0,0.9,10
34.5,0.84,0.88,1.04,0,0.9,10
34.8,0.83,0.87,1.03,0,0.9,10
35.2,0.83,0.87,1.03,0,0.9,10
35.4,0.83,0.87,1.02,0,0.9,10
35.6,0.83,0.87,1.02,0,0.9,10
35.8,0.84,0.87,1.02,0,0.9,10
36,0.84,0.87,1.02,0,0.9,10
36.1,0.87,0.9,1.05,0,0.9,10
36.2,0.87,0.9,1.05,0,0.9,10
36.3,0.88,0.92,1.06,0,0.9,10
36.4,0.88,0.92,1.06,0,0.9,10
36.5,0.88,0.92,1.05,0,0.9,10
36.5,0.88,0.92,1.05,0,0.9,10
36.6,0.88,0.91,1.04,0,0.9,10
36.7,0.88,0.91,1.04,0,0.9,10
36.8,0.88,0.91,1.03,0,0.9,10
36.9,0.87,0.91,1.03,0,0.9,10
37.1,0.87,0.9,1.02,0,0.9,10
37.3,0.87,0.9,1.02,0,0.9,10
37.5,0.86,0.89,1.01,0,0.9,10
37.6,0.86,0.89,1.01,0,0.9,10
37.8,0.86,0.89,1,0,0.9,10
38,0.86,0.89,1,0,0.9,10
38,0.85,0.88,1,0,0.9,10
38,0.85,0.88,0.99,0,0.9,10
38,0.85,0.89,0.99,0,0.9,10
37.9,0.85,0.89,0.99,0,0.9,10
37.9,0.86,0.89,0.98,0,0.9,10
37.8,0.86,0.89,0.98,0,0.9,10
37.8,0.85,0.89,0.98,0,0.9,10
37.8,0.85,0.89,0.98,0,0.9,10
37.8,0.86,0.89,0.97,0,0.9,10
37.8,0.86,0.89,0.97,0,0.9,10
37.9,0.86,0.89,0.96,0,0.9,10
37.9,0.85,0.88,0.96,0,0.9,10
37.9,0.85,0.88,0.95,0,0.9,10
37.9,0.85,0.88,0.95,0,0.9,10
37.7,0.85,0.88,0.95,0,0.9,10
37.5,0.85,0.88,0.95,0,0.9,10
37.2,0.86,0.88,0.95,0,0.9,10
36.9,0.86,0.88,0.95,0,0.9,10
36.6,0.86,0.88,0.95,0,0.9,10
36.1,0.86,0.88,0.94,0,0.9,10
35.8,0.85,0.88,0.93,0,0.9,10
35.4,0.85,0.88,0.93,0,0.9,10
35,0.85,0.88,0.93,0,0.9,10
34.7,0.85,0.88,0.93,0,0.9,10
34.4,0.87,0.9,0.94,0,0.9,10
34,0.87,0.9,0.94,0,0.9,10
33.6,0.89,0.91,0.95,0,0.9,10
33.3,0.89,0.91,0.95,0,0.9,10
33,0.89,0.91,0.95,0,0.9,10
32.7,0.9,0.92,0.96,0,0.9,10
32.5,0.9,0.93,0.97,0,0.9,10
32.3,0.9,0.93,0.97,0,0.9,10
32.1,0.91,0.94,0.98,0,0.9,10
31.8,0.91,0.94,0.98,0,0.9,10
31.6,0.92,0.94,0.99,0,0.9,10
31.5,0.92,0.94,0.99,0,0.9,10
31.3,0.92,0.95,0.99,0,0.9,10
31.1,0.92,0.95,0.99,0,0.9,10
30.8,0.92,0.95,1,0,0.9,10
30.4,0.93,0.95,1,0,0.9,10
30.2,0.94,0.96,1.01,0,0.9,10
